DATE.ADDED.TO.CATALOG,PUBMEDID,FIRST.AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL.SAMPLE.SIZE,REPLICATION.SAMPLE.SIZE,REGION,CHR_ID,CHR_POS,REPORTED.GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST.SNP-RISK.ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK.ALLELE.FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE.(TEXT),OR.or.BETA,95%.CI.(TEXT),PLATFORM.[SNPS.PASSING.QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY.ACCESSION,GENOTYPING.TECHNOLOGY,hg38_pos,plink.lab
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p36.33,1,983237,"",PERM1 - HES4,ENSG00000187642,ENSG00000188290,"",1144,15725,rs4970418-A,rs4970418,0,4970418,upstream_gene_variant,1,0.159,1E-9,9,"",0.0532,[0.036-0.07] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:983237,chr1:983237:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p36.21,1,15872556,"",SPEN,"","",ENSG00000065526,,,rs9782984-C,rs9782984,0,9782984,intron_variant,0,0.8222,5E-9,8.30102999566398,"",0.0585,[0.039-0.078] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:15872556,chr1:15872556:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p34.3,1,38920042,"",RHBDL2,"","",ENSG00000158315,,,rs75414548-A,rs75414548,0,75414548,intron_variant,0,0.0725,2E-8,7.69897000433602,"",0.072,[0.047-0.097] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:38920042,chr1:38920042:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1p21.2,1,99683752,"",PALMD,"","",ENSG00000099260,,,rs1933723-A,rs1933723,0,1933723,non_coding_transcript_exon_variant,0,0.6786,3E-8,7.52287874528034,"",0.0349,[0.023-0.047] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:99683752,chr1:99683752:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,4q13.3,4,70911218,"",MOB1B,"","",ENSG00000173542,,,rs12512502-C,rs12512502,0,12512502,intron_variant,0,0.6147,2E-8,7.69897000433602,"",0.0339,[0.022-0.046] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,4:70911218,chr4:70911218:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,4q21.22,4,82989559,"",LIN54,"","",ENSG00000189308,,,rs6841049-G,rs6841049,0,6841049,intron_variant,0,0.5397,1E-9,9,"",0.0359,[0.024-0.047] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,4:82989559,chr4:82989559:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,5q31.3,5,140323701,"",PFDN1 - HBEGF,ENSG00000113068,ENSG00000113070,"",20588,9142,rs17118812-C,rs17118812,0,17118812,intergenic_variant,1,0.3028,2E-10,9.69897000433602,"",0.0401,[0.028-0.052] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,5:140323701,chr5:140323701:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,6p22.3,6,22598030,"",CASC15,"","",ENSG00000272168,,,rs7766436-T,rs7766436,0,7766436,intron_variant,0,0.2697,3E-8,7.52287874528034,"",0.0357,[0.023-0.048] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,6:22598030,chr6:22598030:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,6q14.1,6,75454873,"",FILIP1,"","",ENSG00000118407,,,rs12209223-A,rs12209223,0,12209223,intron_variant,0,0.1164,4E-13,12.397940008672,"",0.0665,[0.048-0.085] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,6:75454873,chr6:75454873:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,6q23.3,6,134797951,"",FAM8A6P - MEMO1P2,ENSG00000218772,ENSG00000213117,"",193253,99923,rs4896104-T,rs4896104,0,4896104,intergenic_variant,1,0.5909,5E-10,9.30102999566398,"",0.038,[0.026-0.05] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,6:134797951,chr6:134797951:
