"Region" "QTL variant" "Reported variant" "Reported gene" "QTL gene" "QTL type" "Pubmed-ID" "First author"
2p13.3 rs13028508 rs10165883 "SNRNP27" SNRNP27 eQTL 29892015 "Roselli C"
10q22.2 rs10824026 rs10824026 "SYNPO2L" MYOZ1 eQTL 29290336 "Nielsen JB"
3q22.3 rs6791611 rs1278493 "PPP2R3A" PCCB eQTL 30061737 "Nielsen JB"
5q31.2 rs9327807 rs2040862 "WNT8A, NPY6R, MYOT, FAM13B" FAM13B eQTL 30061737 "Nielsen JB"
2q33.1 rs159321 rs295114 "SPATS2L" SPATS2L eQTL 29892015 "Roselli C"
2q33.1 rs1347551 rs3820888 "SPATS2L" SPATS2L eQTL 30061737 "Nielsen JB"
3q26.33 rs2339798 rs4855074 "GNB4" GNB4 eQTL 29892015 "Roselli C"
3q26.33 rs2339798 rs4855075 "GNB4" GNB4 eQTL 29892015 "Roselli C"
1q32.1 rs951366 rs4951258 "NUCKS1, SLC41A1" NUCKS1 eQTL 30061737 "Nielsen JB"
1q32.1 rs951366 rs4951261 "NUCKS1" NUCKS1 eQTL 29892015 "Roselli C"
10q22.2 rs3740293 rs60212594 "SYNPO2L" MYOZ1 eQTL 29892015 "Roselli C"
10q22.2 rs10824026 rs6480708 "SYNPO2L" MYOZ1 eQTL 29892015 "Roselli C"
2p13.3 rs13028508 rs6546550 "ANXA4/GMCL1" SNRNP27 eQTL 28416818 "Christophersen IE"
2p13.3 rs13028508 rs6546553 "GMCL1" SNRNP27 eQTL 29892015 "Roselli C"
2p13.3 rs13028508 rs6747542 "GMCL1, ANXA4" SNRNP27 eQTL 30061737 "Nielsen JB"
10q22.2 rs10824026 rs7394190 "SYNPO2L" MYOZ1 eQTL 28416818 "Christophersen IE"
1q32.1 rs951366 rs951366 "NUCKS1" NUCKS1 eQTL 29892015 "Roselli C"
10q22.2 rs10824026 rs10824026 "SYNPO2L" MYOZ1 pQTL 28416818 "Christophersen IE"
10q22.2 rs3740293 rs60212594 "SYNPO2L" MYOZ1 pQTL 29892015 "Roselli C"
10q22.2 rs12570126 rs6480708 "SYNPO2L" MYOZ1 pQTL 29892015 "Roselli C"
10q22.2 rs12570126 rs7394190 "SYNPO2L" MYOZ1 pQTL 28416818 "Christophersen IE"
