"SNP" "Nearest gene" "% presence of MA/Mi" "p-value (Z-test)" "STARR_L2FC" "EMERGE" "Fold change" "p-value"
rs12668473 CAV2 -6.16 0.003 -0.6628 0.064 0.92 0.6243
rs3807989 CAV1 -5.53 0.000 0.609264 0.081 0.89 0.5344
rs4744421 c9orf3 -4.90 0.002 3.9909 0.101 8.14 0.0299
rs680084 PRRX1 -4.72 0.043 0.0136411 0.051 0.79 0.6753
rs34379825 GJA1 -4.54 0.040 0.887597 0 ND ND
rs76809100 PITX2 -3.91 0.002 1.15697 0 0.11 0.0022
rs76749863 KCNN3 -2.22 0.003 1.78714 0.051 ND ND
rs74541936 KCNN3 -2.11 0.022 1.14411 0.104 ND ND
rs2902635 SH3PXD2A 1.63 0.033 0.528811 0.134 ND ND
rs10821415 c9orf3 1.73 0.029 1.97812 0.137 1.72 0.004
rs6495063 HCN4 1.83 0.038 1.46946 0.13 ND ND
rs6495062 HCN4 1.93 0.044 1.93652 0.13 ND ND
rs9940321 ZFHX3 2.40 0.012 1.67829 0.051 ND ND
rs1218584 KCNN3 2.41 0.003 1.78714 0.051 ND ND
rs1061122 KCNN3 3.05 0.000 1.57784 0.07 ND ND
rs6599220 SCN5A 3.46 0.000 0.819915 0.051 ND ND
rs34292822 KCNN3 3.48 0.017 0.228457 0.14 ND ND
rs9790621 PITX2 3.63 0.011 3.44224 0.051 ND ND
rs12754189 KCNN3 3.84 0.002 0.545234 0.051 0.7 0.3198
rs36088503 KCNN3 3.86 0.002 0.259531 0.052 1.87 0.0003
rs10908445 KCNN3 4.10 0.001 -0.0181248 0.052 ND ND
rs7811851 CAV1 5.62 0.000 1.46407 0 0.83 0.2737
rs7430477 SCN10A 7.96 0.000 1.06835 0.141 0.23 0.0059
rs7795510 CAV1 8.88 0.000 1.40528 0 2.49 0.0269
