DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-12-01	34737426	Jiang L	2021-11-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34737426	A generalized linear mixed model association tool for biobank-scale data.	Atrial fibrillation and flutter (PheCode 427.2)	8,404 European ancestry cases, 447,944 European ancestry controls	NA	4q25	4	110485663		ENPEP			ENSG00000138792			rs192667187-C	rs192667187	0	192667187	intron_variant	0	0.008947	2E-9	8.698970004336019		0.52	[0.35-0.69] unit increase	NR [11842647] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90043977	Genome-wide genotyping array
2021-12-01	34737426	Jiang L	2021-11-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34737426	A generalized linear mixed model association tool for biobank-scale data.	Atrial fibrillation and flutter (PheCode 427.2)	8,404 European ancestry cases, 447,944 European ancestry controls	NA	4q25	4	110491909		ENPEP			ENSG00000138792			rs192833524-T	rs192833524	0	192833524	intron_variant	0	0.009705	9E-10	9.045757490560675		0.52	[0.35-0.69] unit increase	NR [11842647] (imputed)	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST90043977	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	1q32.1	1	203065778	PPFIA4	PPFIA4			ENSG00000143847			rs3737883-A	rs3737883	0	3737883	intron_variant	0	0.68	2E-9	8.698970004336019		1.48	[1.31-1.68]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	4q34.1	4	173678308	HAND2	HAND2-AS1 - LINC02269	ENSG00000237125	ENSG00000250708		18612	20774	rs4615152-C	rs4615152	0	4615152	intergenic_variant	1	0.42	1E-12	12.0		1.51	[1.35-1.68]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	1q24.2	1	170600176	PRRX1	GORAB - PRRX1	ENSG00000120370	ENSG00000116132		46342	62552	rs3903239-G	rs3903239	0	3903239	intron_variant	1	0.543	1E-7	7.0		1.41	[1.24-1.60]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	4q25	4	110784612	PITX2	NA - LINC01438		ENSG00000249519			9791	rs6817105-C	rs6817105	0	6817105	intergenic_variant	1	0.525	6E-38	37.221848749616356		2.43	[2.12-2.78]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	10q24.33	10	103539854	NEURL1	NEURL1			ENSG00000107954			rs6584555-C	rs6584555	0	6584555	intron_variant	0	0.126	3E-7	6.522878745280337		1.58	[1.33-1.88]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2017-07-14	28460022	Lee JY	2017-04-27	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/28460022	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	Early onset atrial fibrillation	672 Korean ancestry cases, 3,700 Korean ancestry controls	200 Korean ancestry cases, 1,812 Korean ancestry controls	16q22.3	16	73017721	ZFHX3	ZFHX3			ENSG00000140836			rs2106261-T	rs2106261	0	2106261	intron_variant	0	0.348	3E-30	29.522878745280337		2.08	[1.83-2.36]	Affymetrix [642422]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004352	Genome-wide genotyping array
2008-10-14	17903304	Larson MG	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903304	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.	Atrial fibrillation	151 cases and 1,190 controls from 310 families	NA	15q23	15	69714534	intergenic	DRAIC			ENSG00000245750			rs4776472-?	rs4776472	0	4776472	intron_variant	0	NR	8E-6	5.096910013008056				Affymetrix [70897]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST000109	Genome-wide genotyping array
2008-10-14	17903304	Larson MG	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903304	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.	Atrial fibrillation	151 cases and 1,190 controls from 310 families	NA	13q14.13	13	46259582	intergenic	LRRC63			ENSG00000173988			rs958546-?	rs958546	0	958546	intron_variant	0	NR	5E-6	5.301029995663981				Affymetrix [70897]	N	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST000109	Genome-wide genotyping array
